NAMES,SMILES,VALUE
C0582_A0033,C[NH+]1C=CN=C1.[Cl-],72
C0582_A0004,C[NH+]1C=CN=C1.[Br-],41
C0582_A0051,C[NH+]1C=CN=C1.[O-][Cl+3]([O-])([O-])[O-],157
C0582_A0020,C[NH+]1C=CN=C1.F[B-](F)(F)F,37
C0582_A0048,C[NH+]1C=CN=C1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,9
C0582_A0067,C[NH+]1C=CN=C1.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,11
C0582_A0090,C[NH+]1C=CN=C1.O=[N+]([O-])[O-],70
C0582_A0084,C[NH+]1C=CN=C1.O=S(=O)([O-])C(F)(F)F,84
C0582_A0011,C[NH+]1C=CN=C1.F[P-](F)(F)(F)(F)F,116
C0582_A0064,C[NH+]1C=CN=C1.O=C([O-])C(F)(F)F,51
C0582_A0087,CC(=O)[O-].C[NH+]1C=CN=C1,-23
C0481_A0033,CC[NH+]1C=CN=C1.[Cl-],58
C0481_A0004,CC[NH+]1C=CN=C1.[Br-],60
C0481_A0051,CC[NH+]1C=CN=C1.[O-][Cl+3]([O-])([O-])[O-],21
C0481_A0090,CC[NH+]1C=CN=C1.O=[N+]([O-])[O-],31
C0481_A0084,CC[NH+]1C=CN=C1.O=S(=O)([O-])C(F)(F)F,8
C0958_A0033,Cn1cc[n+](C)c1.[Cl-],125
C0958_A0020,Cn1cc[n+](C)c1.F[B-](F)(F)F,103
C0958_A0048,Cn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,22
C0958_A0064,Cn1cc[n+](C)c1.O=C([O-])C(F)(F)F,52
C0958_A0008,Cn1cc[n+](C)c1.F[B-](F)(F)C(F)(F)F,15
C0958_A0043,Cn1cc[n+](C)c1.F[B-](F)(F)C(F)(F)C(F)(F)F,27
C0958_A0009,Cn1cc[n+](C)c1.F[B-](F)(F)C(F)(F)C(F)(F)C(F)(F)F,11
C0958_A0021,Cn1cc[n+](C)c1.F[B-](F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,16
C1130_A0033,CC1=NC=C[NH+]1C.[Cl-],181
C1130_A0004,CC1=NC=C[NH+]1C.[Br-],176
C1130_A0051,CC1=NC=C[NH+]1C.[O-][Cl+3]([O-])([O-])[O-],64
C1130_A0048,CC1=NC=C[NH+]1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,22
C1130_A0067,CC1=NC=C[NH+]1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,15
C1130_A0090,CC1=NC=C[NH+]1C.O=[N+]([O-])[O-],84
C1130_A0084,CC1=NC=C[NH+]1C.O=S(=O)([O-])C(F)(F)F,119
C1130_A0011,CC1=NC=C[NH+]1C.F[P-](F)(F)(F)(F)F,115
C0460_A0033,CC[n+]1ccn(C)c1.[Cl-],80
C0460_A0069,CC[n+]1ccn(C)c1.[I-],79
C0460_A0008,CC[n+]1ccn(C)c1.F[B-](F)(F)C(F)(F)F,-20
C0460_A0043,CC[n+]1ccn(C)c1.F[B-](F)(F)C(F)(F)C(F)(F)F,1
C0460_A0009,CC[n+]1ccn(C)c1.F[B-](F)(F)C(F)(F)C(F)(F)C(F)(F)F,8
C0460_A0021,CC[n+]1ccn(C)c1.F[B-](F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,-4
C0460_A0002,CCC[B-](F)(F)F.CC[n+]1ccn(C)c1,-14
C0460_A0041,CCCC[B-](F)(F)F.CC[n+]1ccn(C)c1,-9
C0460_A0025,CCCCC[B-](F)(F)F.CC[n+]1ccn(C)c1,16
C0460_A0048,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,-16
C0460_A0067,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,-1
C0460_A0056,CC[n+]1ccn(C)c1.N#C[N-]C#N,-21
C0460_A0034,CC[n+]1ccn(C)c1.O=C([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3
C0460_A0062,CC[n+]1ccn(C)c1.O=N[O-],55
C0460_A0090,CC[n+]1ccn(C)c1.O=[N+]([O-])[O-],38
C0460_A0027,CC[n+]1ccn(C)c1.O=S(=O)(F)[N-]S(=O)(=O)F,-13
C0460_A0079,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,28
C0460_A0078,CC[n+]1ccn(C)c1.O=S(=O)([O-])OCC(F)(F)C(F)(F)C(F)(F)C(F)F,-16
C0460_A0044,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],5
C0460_A0065,CC[n+]1ccn(C)c1.O=S(=O)([O-])OC(F)(F)C(F)(F)F,-65
C0460_A0071,CC[n+]1ccn(C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,-37
C0460_A0064,CC[n+]1ccn(C)c1.O=C([O-])C(F)(F)F,-14
C0460_A0087,CC(=O)[O-].CC[n+]1ccn(C)c1,-45
C0460_A0088,CC[n+]1ccn(C)c1.O=C([O-])c1ccccc1C(=O)O,-47
C0460_A0003,CC[n+]1ccn(C)c1.O=S(=O)([C-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F)C(F)(F)F,39
C0460_A0055,CC[n+]1ccn(C)c1.N#C[C-](C#N)C#N,-10
C0460_A0085,CC[n+]1ccn(C)c1.Cl[Al-](Cl)(Cl)Cl,9
C0460_A0015,CC[n+]1ccn(C)c1.N#C[S-],-6
C0553_A0033,CC[NH+]1C=CN=C1C.[Cl-],178
C0553_A0004,CC[NH+]1C=CN=C1C.[Br-],144
C0553_A0051,CC[NH+]1C=CN=C1C.[O-][Cl+3]([O-])([O-])[O-],7
C0553_A0067,CC[NH+]1C=CN=C1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,-19
C0553_A0090,CC[NH+]1C=CN=C1C.O=[N+]([O-])[O-],75
C0553_A0084,CC[NH+]1C=CN=C1C.O=S(=O)([O-])C(F)(F)F,33
C1125_A0048,Cn1cc[n+](CC(F)(F)F)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,-40
C1125_A0084,Cn1cc[n+](CC(F)(F)F)c1.O=S(=O)([O-])C(F)(F)F,45
C0064_A0084,CCn1cc[n+](CC)c1.O=S(=O)([O-])C(F)(F)F,23
C0811_A0033,CCC[n+]1ccn(C)c1.[Cl-],60
C0811_A0020,CCC[n+]1ccn(C)c1.F[B-](F)(F)F,-17
C0811_A0008,CCC[n+]1ccn(C)c1.F[B-](F)(F)C(F)(F)F,-21
C0811_A0043,CCC[n+]1ccn(C)c1.F[B-](F)(F)C(F)(F)C(F)(F)F,-42
C0811_A0009,CCC[n+]1ccn(C)c1.F[B-](F)(F)C(F)(F)C(F)(F)C(F)(F)F,-5
C0811_A0021,CCC[n+]1ccn(C)c1.F[B-](F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,-12
C0811_A0048,CCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,-87
C0811_A0079,CCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,34
C0811_A0011,CCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,40
C0854_A0069,CC(C)[n+]1ccn(C)c1.[I-],114
C0854_A0048,CC(C)[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,16
C0854_A0028,CC(C)[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,29
C0854_A0011,CC(C)[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,102
C0291_A0033,COCC[n+]1ccn(C)c1.[Cl-],67
C0291_A0008,COCC[n+]1ccn(C)c1.F[B-](F)(F)C(F)(F)F,2
C0291_A0043,COCC[n+]1ccn(C)c1.F[B-](F)(F)C(F)(F)C(F)(F)F,-9
C0291_A0084,COCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,27
C0291_A0011,COCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,26
C0505_A0069,CCCC[n+]1ccn(C)c1.[I-],-72
C0505_A0043,CCCC[n+]1ccn(C)c1.F[B-](F)(F)C(F)(F)C(F)(F)F,-42
C0505_A0029,CC(CC#N)[B-](F)(F)F.CCCC[n+]1ccn(C)c1,-85
C0505_A0048,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,-9
C0505_A0056,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,-6
C0505_A0084,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,16
C0505_A0079,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,20
C0505_A0077,CCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,-17
C0505_A0086,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])OCCCC(F)(F)C(F)(F)F,-15
C0505_A0078,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])OCC(F)(F)C(F)(F)C(F)(F)C(F)F,-61
C0505_A0064,CCCC[n+]1ccn(C)c1.O=C([O-])C(F)(F)F,-40
C0505_A0087,CC(=O)[O-].CCCC[n+]1ccn(C)c1,-20
C0505_A0085,CCCC[n+]1ccn(C)c1.Cl[Al-](Cl)(Cl)Cl,-10
C0782_A0048,CCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,-9
C0782_A0007,CCCCC[n+]1ccn(C)c1.O=C1[N-]S(=O)(=O)c2ccccc21,64
C0835_A0048,CCCC[n+]1ccn(CC)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,-8
C0835_A0084,CCCC[n+]1ccn(CC)c1.O=S(=O)([O-])C(F)(F)F,2
C0835_A0079,CCCC[n+]1ccn(CC)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,21
C0835_A0064,CCCC[n+]1ccn(CC)c1.O=C([O-])C(F)(F)F,-40
C0190_A0033,CCCCCC[n+]1ccn(C)c1.[Cl-],-75
C0190_A0043,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)C(F)(F)C(F)(F)F,-10
C0190_A0048,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,-7
C0190_A0084,CCCCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,29
C0190_A0071,CCCCCC[n+]1ccn(C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,-50
C0698_A0004,Cn1cc[n+](CC(=O)c2ccccc2)c1.[Br-],49
C0293_A0048,CCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,7
C1006_A0033,CCCCn1cc[n+](CCCC)c1.[Cl-],55
C0810_A0004,Cn1cc[n+](Cc2ccccc2)c1.[Br-],126
C0810_A0084,Cn1cc[n+](Cc2ccccc2)c1.O=S(=O)([O-])C(F)(F)F,27
C0810_A0011,Cn1cc[n+](Cc2ccccc2)c1.F[P-](F)(F)(F)(F)F,130
C0497_A0084,COc1ccc(-[n+]2ccn(C)c2)cc1.O=S(=O)([O-])C(F)(F)F,45
