NAMES,SMILES,VALUE
C0481_A0020,CC[NH+]1C=CN=C1.F[B-](F)(F)F,309
C0481_A0048,CC[NH+]1C=CN=C1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,365
C0481_A0067,CC[NH+]1C=CN=C1.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,255
C0481_A0084,CC[NH+]1C=CN=C1.O=S(=O)([O-])C(F)(F)F,300
C0481_A0121,CC(O)C(=O)[O-].CC[NH+]1C=CN=C1,208
C0481_A0081,CC[NH+]1C=CN=C1.C[C@H](O)C(=O)[O-],199
C1404_A0121,CC(O)C(=O)[O-].CCC[NH+]1C=CN=C1,211
C1404_A0081,CCC[NH+]1C=CN=C1.C[C@H](O)C(=O)[O-],209
C1376_A0121,CC(O)C(=O)[O-].CCCC[NH+]1C=CN=C1,245
C1376_A0081,CCCC[NH+]1C=CN=C1.C[C@H](O)C(=O)[O-],239
C1402_A0121,CC(O)C(=O)[O-].CCCCC[NH+]1C=CN=C1,229
C1402_A0081,CCCCC[NH+]1C=CN=C1.C[C@H](O)C(=O)[O-],227
C1394_A0121,CC(O)C(=O)[O-].CCCCCC[NH+]1C=CN=C1,226
C1394_A0081,CCCCCC[NH+]1C=CN=C1.C[C@H](O)C(=O)[O-],222
C1392_A0121,CC(O)C(=O)[O-].CCCCCCC[NH+]1C=CN=C1,225
C1392_A0081,CCCCCCC[NH+]1C=CN=C1.C[C@H](O)C(=O)[O-],222
C1400_A0121,CC(O)C(=O)[O-].CCCCCCCC[NH+]1C=CN=C1,223
C1400_A0081,CCCCCCCC[NH+]1C=CN=C1.C[C@H](O)C(=O)[O-],221
C1397_A0121,CC(O)C(=O)[O-].CCCCCCCCC[NH+]1C=CN=C1,209
C1397_A0081,CCCCCCCCC[NH+]1C=CN=C1.C[C@H](O)C(=O)[O-],204
C1382_A0121,CC(O)C(=O)[O-].CCCCCCCCCC[NH+]1C=CN=C1,207
C1382_A0081,CCCCCCCCCC[NH+]1C=CN=C1.C[C@H](O)C(=O)[O-],199
C1412_A0121,CC(O)C(=O)[O-].CCCCCCCCCCC[NH+]1C=CN=C1,194
C1384_A0081,CCCCCCCCCCCC[NH+]1C=CN=C1.C[C@H](O)C(=O)[O-],194
C1384_A0121,CC(O)C(=O)[O-].CCCCCCCCCCCC[NH+]1C=CN=C1,191
C1377_A0081,CCCCOC[NH+]1C=CN=C1.C[C@H](O)C(=O)[O-],188
C1377_A0121,CC(O)C(=O)[O-].CCCCOC[NH+]1C=CN=C1,217
C1403_A0081,CCCCCOC[NH+]1C=CN=C1.C[C@H](O)C(=O)[O-],197
C1403_A0121,CC(O)C(=O)[O-].CCCCCOC[NH+]1C=CN=C1,193
C1395_A0081,CCCCCCOC[NH+]1C=CN=C1.C[C@H](O)C(=O)[O-],211
C1395_A0121,CC(O)C(=O)[O-].CCCCCCOC[NH+]1C=CN=C1,208
C1393_A0081,CCCCCCCOC[NH+]1C=CN=C1.C[C@H](O)C(=O)[O-],225
C1393_A0121,CC(O)C(=O)[O-].CCCCCCCOC[NH+]1C=CN=C1,218
C1401_A0081,CCCCCCCCOC[NH+]1C=CN=C1.C[C@H](O)C(=O)[O-],228
C1401_A0121,CC(O)C(=O)[O-].CCCCCCCCOC[NH+]1C=CN=C1,223
C1398_A0081,CCCCCCCCCOC[NH+]1C=CN=C1.C[C@H](O)C(=O)[O-],238
C1398_A0121,CC(O)C(=O)[O-].CCCCCCCCCOC[NH+]1C=CN=C1,231
C1383_A0081,CCCCCCCCCCOC[NH+]1C=CN=C1.C[C@H](O)C(=O)[O-],208
C1383_A0121,CC(O)C(=O)[O-].CCCCCCCCCCOC[NH+]1C=CN=C1,202
C1413_A0081,CCCCCCCCCCCOC[NH+]1C=CN=C1.C[C@H](O)C(=O)[O-],222
C1413_A0121,CC(O)C(=O)[O-].CCCCCCCCCCCOC[NH+]1C=CN=C1,216
C1385_A0081,CCCCCCCCCCCCOC[NH+]1C=CN=C1.C[C@H](O)C(=O)[O-],246
C1385_A0121,CC(O)C(=O)[O-].CCCCCCCCCCCCOC[NH+]1C=CN=C1,239
C0958_A0043,Cn1cc[n+](C)c1.F[B-](F)(F)C(F)(F)C(F)(F)F,290
C0958_A0009,Cn1cc[n+](C)c1.F[B-](F)(F)C(F)(F)C(F)(F)C(F)(F)F,279
C0958_A0021,Cn1cc[n+](C)c1.F[B-](F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,275
C0460_A0020,CC[n+]1ccn(C)c1.F[B-](F)(F)F,445
C0460_A0008,CC[n+]1ccn(C)c1.F[B-](F)(F)C(F)(F)F,246
C0460_A0043,CC[n+]1ccn(C)c1.F[B-](F)(F)C(F)(F)C(F)(F)F,305
C0460_A0009,CC[n+]1ccn(C)c1.F[B-](F)(F)C(F)(F)C(F)(F)C(F)(F)F,304
C0460_A0021,CC[n+]1ccn(C)c1.F[B-](F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,277
C0460_A0143,CC[n+]1ccn(C)c1.C[B-](F)(F)F,272
C0460_A0140,CC[B-](F)(F)F.CC[n+]1ccn(C)c1,258
C0460_A0002,CCC[B-](F)(F)F.CC[n+]1ccn(C)c1,281
C0460_A0041,CCCC[B-](F)(F)F.CC[n+]1ccn(C)c1,249
C0460_A0025,CCCCC[B-](F)(F)F.CC[n+]1ccn(C)c1,292
